project_id,peer_count,peer_median_cost,peer_iqr_cost,cost_deviation_pct,cost_zscore,cost_iqr_flag,cost_anomaly_flag,cost_anomaly_score,cost_anomaly_reason,cost_anomaly_available
WS/MP600/2024-2025/148218,62.0,178135.5,94368.0,-0.25337734477406243,-0.6380251842680399,0.0,0.0,-0.013995038602842735,,True
WS/MP18228/2024-2025/148219,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148220,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148221,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148222,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148223,3036.0,222921.0,210923.0,-0.8126870057105432,-0.14671627167150703,0.0,0.0,-0.00567450739578701,,True
WS/MP18228/2024-2025/148224,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP600/2024-2025/148225,62.0,178135.5,94368.0,0.8533532058461115,2.148814199987713,0.0,0.0,-0.014480793415176885,,True
WS/MP600/2024-2025/148226,62.0,178135.5,94368.0,-0.3965268012271557,-0.9984873969129651,0.0,0.0,-0.013889207581139151,,True
WS/MP600/2024-2025/148228,62.0,178135.5,94368.0,-0.20846771137701356,-0.5249389999088477,0.0,0.0,-0.014206593270790935,,True
WS/MP600/2025-2026/148229,62.0,178135.5,94368.0,-0.05689769866197361,-0.14327312769657405,0.0,0.0,-0.014312316941246517,,True
WS/MP600/2024-2025/148230,62.0,178135.5,94368.0,-0.32916235113158243,-0.8288581203741767,0.0,0.0,-0.013889207581139151,,True
WS/MP600/2024-2025/148231,62.0,178135.5,94368.0,0.006374361090293624,0.016051170292482844,0.0,0.0,-0.014534021589501345,,True
WS/MP600/2024-2025/148232,62.0,178135.5,94368.0,-0.0512839944873425,-0.12913735465167503,0.0,0.0,-0.014312316941246517,,True
WS/MP18328/2024-2025/148234,65.0,250000.0,291850.0,0.2,0.13852564114292176,0.0,0.0,-0.019504225660296415,,True
WS/MP600/2024-2025/148235,62.0,178135.5,94368.0,0.33044788938757297,0.8320952124014587,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148237,62.0,178135.5,94368.0,-0.3347760553062135,-0.8429938934190757,0.0,0.0,-0.013889207581139151,,True
WS/MP600/2024-2025/148238,62.0,178135.5,94368.0,0.40342604365777734,1.015860261985146,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148239,62.0,178135.5,94368.0,-0.1635580779799647,-0.4118528155496555,0.0,0.0,-0.014206593270790935,,True
WS/MP18328/2024-2025/148240,65.0,250000.0,291850.0,0.2,0.13852564114292176,0.0,0.0,-0.019504225660296415,,True
WS/MP600/2024-2025/148241,62.0,178135.5,94368.0,0.6906736725694766,1.7391736329195842,0.0,0.0,-0.014412176193160486,,True
WS/MP600/2025-2026/148242,62.0,178135.5,94368.0,0.6841112523893328,1.7226489142300971,0.0,0.0,-0.014412176193160486,,True
WS/MP600/2024-2025/148244,62.0,178135.5,94368.0,0.17326417249790188,0.4362935671442859,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148245,62.0,178135.5,94368.0,0.43149456453093293,1.086539127209641,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148247,62.0,178135.5,94368.0,0.021694159782861922,0.05462769493201228,0.0,0.0,-0.014534021589501345,,True
WS/MP18024/2024-2025/148250,173.0,500000.0,300000.0,-0.6,-0.4071845766034179,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2025-2026/148251,173.0,500000.0,300000.0,-0.6,-0.4071845766034179,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2025-2026/148252,173.0,500000.0,300000.0,-0.6,-0.4071845766034179,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2025-2026/148253,173.0,500000.0,300000.0,-0.7,-0.47504867270398754,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2024-2025/148254,173.0,500000.0,300000.0,-0.7,-0.47504867270398754,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2025-2026/148255,173.0,500000.0,300000.0,-0.6,-0.4071845766034179,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2024-2025/148256,173.0,500000.0,300000.0,-0.7,-0.47504867270398754,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2025-2026/148257,173.0,500000.0,300000.0,-0.6,-0.4071845766034179,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2025-2026/148258,173.0,500000.0,300000.0,-0.6,-0.4071845766034179,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2025-2026/148259,173.0,500000.0,300000.0,-0.6,-0.4071845766034179,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2024-2025/148260,173.0,500000.0,300000.0,-0.7,-0.47504867270398754,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2024-2025/148261,173.0,500000.0,300000.0,-0.6,-0.4071845766034179,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2025-2026/148262,173.0,500000.0,300000.0,-0.6,-0.4071845766034179,0.0,0.0,-0.007646101400190564,,True
WS/MP18024/2024-2025/148263,173.0,500000.0,300000.0,-0.7,-0.47504867270398754,0.0,0.0,-0.007646101400190564,,True
WS/MP600/2024-2025/148264,62.0,178135.5,94368.0,-0.12987585293217804,-0.32703817728026136,0.0,0.0,-0.014206593270790935,,True
WS/MP600/2024-2025/148265,62.0,178135.5,94368.0,0.6111330981191284,1.5388838646464098,0.0,0.0,-0.014412176193160486,,True
WS/MP600/2025-2026/148266,62.0,178135.5,94368.0,0.6841112523893328,1.7226489142300971,0.0,0.0,-0.014412176193160486,,True
WS/MP600/2024-2025/148268,62.0,178135.5,94368.0,-0.32635549904426686,-0.8217902338517272,0.0,0.0,-0.013889207581139151,,True
