"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"4246","Normal/Others","WS/MP632/2025-2026/143623-Construction of buildings for community cultural activities","Kerala","PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA)","Anto Antony","PATHANAMTHITTA","Construction of Open Air Auditorium Building for Cultural Activities in Konni Grama Panchayat (Ward-16)","25-Sep-2024","2350000","07-Mar-2026"
"4247","Normal/Others","WS/MP18032/2024-2025/143624-Construction of common work sheds/ common covered sitting area","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","SUDHAKAR SINGH","BUXAR","Construction of common shed and sitting area at Gandhi Ji Memorial Chowk Baruna(Kota)","25-Sep-2024","296036","05-Feb-2025"
"4248","Normal/Others","WS/MP18032/2024-2025/143625-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","SUDHAKAR SINGH","BUXAR","Construction of Community hall at Pachilkhi(Durgawati)","25-Sep-2024","796871","07-Jan-2025"
"4249","Normal/Others","WS/MP18032/2024-2025/143626-Construction of community centers and community halls","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","SUDHAKAR SINGH","BUXAR","Construction of community hall with toilet near Ram Janki pond at Nuaon","25-Sep-2024","926359","07-Jan-2025"
"4250","Normal/Others","WS/MP681/2024-2025/143646-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of CC road and Drainage at Gaytri Nagar, Mahakala, Tal.Ambad,Dist.Jalna.(ST)","25-Sep-2024","799000","08-Oct-2024"
"4251","Normal/Others","WS/MP681/2024-2025/143647-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of simmet road and drain within the village at Antewali Tembhi, Tal.Ghansawangi,Dist.Jalna.(ST)","25-Sep-2024","799000","08-Oct-2024"
"4252","Normal/Others","WS/MP681/2024-2025/143648-Construction of community centers and community halls","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of social hall in Bhil settlement at Chitli, Tal.Jalna. (ST)","25-Sep-2024","899000","08-Oct-2024"
"4253","Normal/Others","WS/MP681/2024-2025/143649-Construction of community centers and community halls","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabha mandap at Chitli Putli, Tal.Jalna","25-Sep-2024","999000","08-Oct-2024"
"4254","Normal/Others","WS/MP681/2024-2025/143650-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of CC roads and drains in Dalit settlements at Paduli Bk, Tal.Ghansawangi, Dist.jalna","25-Sep-2024","799000","08-Oct-2024"
"4255","Normal/Others","WS/MP681/2024-2025/143651-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Strengthening of road leading to Maruti Mandir to Dr. Babasaheb Ambedkar Statue at Argadegachan Tal.Ghansawangi Dist.jalna. (SC)","25-Sep-2024","899000","08-Oct-2024"
"4256","Normal/Others","WS/MP681/2024-2025/143652-Construction of community centers and community halls","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabha mandap at Bor Ranjani Tal.Ghansawangi Dist.Jalna. (SC)","25-Sep-2024","799000","08-Oct-2024"
"4257","Normal/Others","WS/MP681/2024-2025/143654-Construction of community centers and community halls","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabha mandap at Paradaon, Tal.Ghansawangi Dist.Jalna","25-Sep-2024","999000","08-Oct-2024"
"4258","Normal/Others","WS/MP681/2024-2025/143655-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of internal cement roads and drains within the village at Chandanpuri kh, tal.Ambad dist.Jalna.","25-Sep-2024","999000","08-Oct-2024"
"4259","Normal/Others","WS/MP18311/2024-2025/143656-Construction of community centers and community halls","Punjab","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","Construction of community center at village Nurpur Kalan","28-Oct-2024","700000","21-Nov-2024"
"4260","Normal/Others","WS/MP681/2024-2025/143657-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of internal cement roads and drains within the village at Gandhari Tal.Ambad Dist.Jalna.","25-Sep-2024","1000000","08-Oct-2024"
"4261","Normal/Others","WS/MP681/2024-2025/143658-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","JALNA(DISTRICT COLLECTOR JALNA_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of internal cement roads and drains within the village at Taka tal.Ambad dist.Jalna.","25-Sep-2024","1000000","08-Oct-2024"
"4262","Normal/Others","NA-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Dayashankar Yadav S/o Ram Pratap ke Ghar ke samne Handpump","25-Sep-2024","74000","NA"
"4263","Normal/Others","NA-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Balwant S/o Ram Subhag Yadav ke Ghar ke samne Handpump","25-Sep-2024","74000","NA"
"4264","Normal/Others","WS/MP18225/2024-2025/143661-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Puttan S/o Ram Lakhan ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4265","Normal/Others","WS/MP18225/2024-2025/143662-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Lakdu Pasi S/o Shyam Lal Address Gaurahar Dhamawan ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4266","Normal/Others","WS/MP18225/2024-2025/143663-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Ram Singh S/o Ghure lal Pasi Address- Surji ka pura Dhamawa Ghar ke samne Handpump","25-Sep-2024","73913","17-Jan-2025"
"4267","Normal/Others","WS/MP18225/2024-2025/143664-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Mata Prasad S/o Banshi Lal Yadav, Hakimpur ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4268","Normal/Others","WS/MP18225/2024-2025/143665-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Papu Yadav S/o Bachha Yadav ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4269","Normal/Others","WS/MP18225/2024-2025/143666-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Manish Yadav S/o Gyander Singh, Lotipar ke Ghar ke samne Handpump","25-Sep-2024","73913","17-Jan-2025"
"4270","Normal/Others","WS/MP18225/2024-2025/143667-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Santosh Kumar Yadav S/o Ram Sumer, Godampar Rala ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4271","Normal/Others","WS/MP18225/2024-2025/143668-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Dayashankar Yadav S/o Ram Prasad Yadav ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4272","Normal/Others","WS/MP18225/2024-2025/143669-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Mohit Yadav S/o Yashwant Yadav ke Ghar ke samne Handpump","25-Sep-2024","73926","17-Jan-2025"
"4273","Normal/Others","WS/MP18225/2024-2025/143670-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Gulab Yadav S/o Yashwant Yadav ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4274","Normal/Others","WS/MP18225/2024-2025/143671-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Jaswant Singh S/o Kedar Singh Yadav ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4275","Normal/Others","WS/MP18225/2024-2025/143672-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Karan Singh Yadav S/o Brij lal ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4276","Normal/Others","WS/MP18225/2024-2025/143673-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Dr Karan Singh Yadav S/o Babu Singh ke Ghar ke samne Handpump","25-Sep-2024","73926","17-Jan-2025"
"4277","Normal/Others","WS/MP18225/2024-2025/143674-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Ram Nath S/o Shri Pal ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4278","Normal/Others","WS/MP18225/2024-2025/143675-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","J P S/o Sardha Pasi ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4279","Normal/Others","WS/MP18225/2024-2025/143676-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Virendra Pasi S/o Hari Pasi ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4280","Normal/Others","WS/MP18225/2024-2025/143677-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Majid Ali S/o Sabair Ali ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4281","Normal/Others","WS/MP18225/2024-2025/143678-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Kamta Prasad S/o Babu Lal ke Ghar ke samne Handpump","25-Sep-2024","73913","17-Jan-2025"
"4282","Normal/Others","WS/MP18225/2024-2025/143679-Installing hand pumps","Uttar Pradesh","KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","Vijai Pasi S/o Durjan Pasi ke Ghar ke samne Handpump","25-Sep-2024","73934","17-Jan-2025"
"4283","Normal/Others","WS/MP18321/2025-2026/143691-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","Construction to CC road work from National Highway 8 to  Modasia Kadwa Patidar Samajni Wadi near Sahakarijin at Himmatnagar.","25-Sep-2024","500000","08-Apr-2025"
"4284","Normal/Others","WS/MP18321/2024-2025/143692-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","Construction of a road leading to the study center of Rabari Samaj from the state road from Talod to Wakatapur at Mahiyal village.","25-Sep-2024","300000","20-Nov-2024"
"4285","Normal/Others","WS/MP18321/2024-2025/143693-Construction of boundary walls of existing public and community buildings","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","For compound wall work in primary school at village Balisana","25-Sep-2024","500000","20-Nov-2024"
"4286","Trust and Society","WS/MP18321/2024-2025/143694-Construction of rooms and halls in school and colleges","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","Construction of new library room in secondary school at Kadoli","25-Sep-2024","500000","19-Mar-2025"
"4287","Normal/Others","WS/MP18138/2024-2025/143742-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","KOLASIB(Deputy Commissioner Kolasib)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","Construction of Widening and land levelling of Tialpui Link Road at Kawnpui - III","25-Sep-2024","1000000","30-Dec-2024"
"4288","Normal/Others","WS/MP18138/2024-2025/143748-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","AIZAWL(DEPUTY COMMISSIONER AIZAWL_IDA)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","Internal road PCC Flooring from S. Vanlalvura's house to Vanlalliana House, Zohmun","25-Sep-2024","350000","13-Jan-2025"
"4289","Normal/Others","WS/MP18219/2025-2026/143773-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","AJENDRA SINGH LODHI","HAMIRPUR_UP","ghutai railway station chauraha par stainless steel (fabricated) yatri shed","19-Nov-2024","700000","10-Jun-2025"
"4290","Normal/Others","WS/MP18219/2025-2026/143774-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","AJENDRA SINGH LODHI","HAMIRPUR_UP","charkhari me supa tigela talab ke pass stainless steel (fabricated) yatri shed","19-Nov-2024","700000","10-Jun-2025"
"4291","Normal/Others","WS/MP18219/2025-2026/143775-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","AJENDRA SINGH LODHI","HAMIRPUR_UP","gaurahari me charkhari tigela par stainless steel (fabricated) yatri shed","19-Nov-2024","700000","10-Jun-2025"
"4292","Normal/Others","WS/MP18219/2025-2026/143776-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA)","AJENDRA SINGH LODHI","HAMIRPUR_UP","belatal me railway station ke pass stainless steel (fabricated) yatri shed","19-Nov-2024","700000","10-Jun-2025"
"4293","Normal/Others","WS/MP18219/2025-2026/143777-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","AJENDRA SINGH LODHI","HAMIRPUR_UP","umariya me stand par stainless steel (fabricated) yatri shed","19-Nov-2024","700000","16-Jul-2025"
"4294","Normal/Others","WS/MP18219/2025-2026/143778-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","AJENDRA SINGH LODHI","HAMIRPUR_UP","gohand me tigela par stainless steel (fabricated) yatri shed","19-Nov-2024","700000","16-Jul-2025"
"4295","Normal/Others","WS/MP18219/2025-2026/143779-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","AJENDRA SINGH LODHI","HAMIRPUR_UP","chikasi me NH road par stainless steel (fabricated) yatri shed","19-Nov-2024","700000","16-Jul-2025"
"4296","Normal/Others","WS/MP18219/2025-2026/143780-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","AJENDRA SINGH LODHI","HAMIRPUR_UP","sarsai me jalalpur road par stainless steel (fabricated) yatri shed","19-Nov-2024","700000","16-Jul-2025"
"4297","Normal/Others","WS/MP18219/2025-2026/143781-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","AJENDRA SINGH LODHI","HAMIRPUR_UP","rath me nahar vaipas jadakhar road par stainless steel (fabricated) yatri shed","19-Nov-2024","700000","16-Jul-2025"
"4298","Normal/Others","WS/MP18219/2025-2026/143782-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","BANDA(DISTRICT MAGISTRATE BANDA_IDA)","AJENDRA SINGH LODHI","HAMIRPUR_UP","mataundh me gaurihar tigela ke pass stainless steel (fabricated) yatri shed","19-Nov-2024","700000","30-Apr-2025"
"4299","Normal/Others","WS/MP18219/2025-2026/143783-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","BANDA(DISTRICT MAGISTRATE BANDA_IDA)","AJENDRA SINGH LODHI","HAMIRPUR_UP","dohatara me chilla road NH par stainless steel (fabricated) yatri shed","19-Nov-2024","700000","30-Apr-2025"
"4300","Normal/Others","WS/MP18219/2025-2026/143784-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","BANDA(DISTRICT MAGISTRATE BANDA_IDA)","AJENDRA SINGH LODHI","HAMIRPUR_UP","pailani barai me chilla road tigela ke pass stainless steel (fabricated) yatri shed","19-Nov-2024","700000","30-Apr-2025"
"4301","Normal/Others","WS/MP18219/2025-2026/143785-Construction of common work sheds/ common covered sitting area","Uttar Pradesh","BANDA(DISTRICT MAGISTRATE BANDA_IDA)","AJENDRA SINGH LODHI","HAMIRPUR_UP","jamunipur me banda vaipas chauraha par stainless steel (fabricated) yatri shed","19-Nov-2024","700000","30-Apr-2025"
