"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2202","Normal/Others","WS/MP334/2024-2025/139746-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near budhwa mahadev in saram bazar","09-Sep-2024","22000","08-Oct-2024"
"2203","Normal/Others","WS/MP334/2024-2025/139747-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kali mandap in hosir west","09-Sep-2024","22000","08-Oct-2024"
"2204","Normal/Others","WS/MP334/2024-2025/139748-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bajrangbali mandir purana minus in swang north","09-Sep-2024","22000","08-Oct-2024"
"2205","Normal/Others","WS/MP334/2024-2025/139749-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shiv mandir pipradih in swang north","09-Sep-2024","22000","08-Oct-2024"
"2206","Normal/Others","WS/MP334/2024-2025/139750-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near prakhand colony visheshwar dham mandir in sadma kala.","09-Sep-2024","22000","08-Oct-2024"
"2207","Normal/Others","WS/MP334/2024-2025/139751-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near ram mandir brajesh mishra house in sadma kalan.","09-Sep-2024","22000","08-Oct-2024"
"2208","Normal/Others","WS/MP334/2024-2025/139752-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near pordaag kali mandir mahto tola in sadma kalan","09-Sep-2024","22000","08-Oct-2024"
"2209","Normal/Others","WS/MP334/2024-2025/139753-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near shiv mandir takaha in sadma kalan.","09-Sep-2024","22000","08-Oct-2024"
"2210","Normal/Others","WS/MP334/2024-2025/139754-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near kali mandir dilip pandey house in sadma kalan.","09-Sep-2024","22000","08-Oct-2024"
"2211","Normal/Others","WS/MP334/2024-2025/139755-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near durga mandir in sadma kalan","09-Sep-2024","22000","08-Oct-2024"
"2212","Normal/Others","WS/MP334/2024-2025/139756-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near baniyatola sadmakala mandir in sadma kalan","09-Sep-2024","22000","08-Oct-2024"
"2213","Normal/Others","WS/MP334/2024-2025/139757-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near jaratola mansa mandir mansingh house in sadmakalan.","09-Sep-2024","22000","08-Oct-2024"
"2214","Normal/Others","WS/MP334/2024-2025/139758-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near jara karam tola barped in sadma kalan","09-Sep-2024","22000","08-Oct-2024"
