"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7776","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP381/2025-2026/227438","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Guru Nanak Trading Co","Payment Success","42929"
"7777","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP381/2025-2026/227438","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Guru Nanak Trading Co","Payment Success","154071"
"7778","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/195398","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-May-2026","GIANI REPAIRING MAUR MANDI","Payment Success","6090"
"7779","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP381/2025-2026/227438","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","18-May-2026","Kuldeep Singh","Payment Success","54000"
"7780","Telangana","Installing community drinking water plants","WS/MP18187/2026-2027/257696","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","GODAM NAGESH","ADILABAD(ST)","19-May-2026","VAMSHI KRISHNA PUSHPALA","Payment Success","400000"
"7781","Telangana","Installing community drinking water plants","WS/MP18187/2026-2027/257691","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","GODAM NAGESH","ADILABAD(ST)","19-May-2026","VAMSHI KRISHNA PUSHPALA","Payment Success","400000"
"7782","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP381/2025-2026/262033","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Sandhu Cement Store","Payment Success","80000"
"7783","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP381/2025-2026/262033","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Sandhu Cement Store","Payment Success","85500"
"7784","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP381/2025-2026/262033","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Sandhu Cement Store","Payment Success","868"
"7785","Jammu And Kashmir","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP331/2025-2026/242055","SAMBA(Deputy Commissioner Samba_IDA)","Shri Jugal Kishore Sharma","JAMMU","13-May-2026","NARESH SINGH","Payment Success","393000"
"7786","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP638/2026-2027/236242","CHHATARPUR(District Collector Chhatarpur_IDA)","Virendra Kumar","TIKAMGARH(SC)","18-May-2026","GRAM PANCHAYAT SAHANIYA","Payment Success","124582"
"7787","Haryana","Installing community drinking water plants","WS/MP18064/2025-2026/218290","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","12-May-2026","TAWDEER ENTERPRISES","Payment Success","48996"
"7788","Haryana","Construction of additional rooms and halls in the existing public and community building","WS/MP18064/2025-2026/203136","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","12-May-2026","THE SHYAM KRIPA CO  OP L C SOCIETY LTD","Payment Success","333457"
"7789","Haryana","Construction of boundary walls of existing public and community buildings","WS/MP18064/2025-2026/203134","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","12-May-2026","THE SHYAM KRIPA CO  OP L C SOCIETY LTD","Payment Success","463448"
"7790","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP381/2025-2026/262033","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","BDS Bricks Industries","Payment Success","150039"
"7791","Rajasthan","Development of playground","WS/MP728/2025-2026/193509","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","04-May-2026","Vikram","Payment Success","7410"
"7792","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18167/2025-2026/245064","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","07-May-2026","Kapil Enterprises","Payment Success","258751"
"7793","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP18010/2025-2026/201981","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","TANGELLA UDAY SRINIVAS","KAKINADA","13-May-2026","T A V SIVA PRASAD","Payment Success","1123023"
"7794","Maharashtra","Construction of public libraries and reading rooms","WS/MP18119/2026-2027/163437","CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA)","DR. KIRSAN NAMDEO","GADCHIROLI-CHIMUR(ST)","18-Jun-2026","JILHA VARSHIK YOJANA G P SATHAGAON","Payment Success","1457701"
"7795","Kerala","Construction of culverts and bridges","WS/MP343/2025-2026/199103","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","05-May-2026","JOY J S","Payment Success","1236975"
"7796","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP18002/2025-2026/220739","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","C.M.RAMESH","ANAKAPALLE","01-May-2026","M SATYARAO AND CO","Payment Success","1222344"
"7797","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18321/2025-2026/246174","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","13-Jul-2026","ISAROL GROUP GRAM PANCHAYAT","Payment Success","500000"
"7798","Rajasthan","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18163/2025-2026/188757","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","07-May-2026","PAWAN KUMAR JAIN","Payment Success","959500"
"7799","Karnataka","Construction of culverts and bridges","WS/MP18263/2025-2026/151980","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","02-May-2026","JYOTHI NAIK","Payment Success","486039"
"7800","Punjab","Purchase of motor boats for flood and cyclone prone areas","WS/MP381/2025-2026/257662","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","13-May-2026","BDS CONTRACTORS","Payment Success","857441"
"7801","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18415/2025-2026/259366","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","TRIVENDRA SINGH RAWAT","HARDWAR","25-Jul-2026","M S MAHIPAL SINGH","Payment Success","301000"
"7802","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP791/2026-2027/252220","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Jagdambika Pal","DOMARIYAGANJ","03-Aug-2026","RAM PYARE LAL MEMO PUBLIC PRIMARY SCHOOL","Payment Success","52500"
"7803","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP791/2026-2027/252220","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Jagdambika Pal","DOMARIYAGANJ","11-Jun-2026","RAM PYARE LAL MEMO PUBLIC PRIMARY SCHOOL","Payment Success","87500"
"7804","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP791/2026-2027/252220","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Jagdambika Pal","DOMARIYAGANJ","05-May-2026","RAM PYARE LAL MEMO PUBLIC PRIMARY SCHOOL","Payment Success","210000"
"7805","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/256375","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","08-May-2026","GRAM PANCHAYAT TUVA","Payment Success","449789"
"7806","Rajasthan","Lighting of public spaces","WS/MP18163/2025-2026/264642","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","05-May-2026","raju meena","Payment Success","469621"
"7807","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18100/2025-2026/192400","Pandhurna(District Collector Pandhurna_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","12-May-2026","IDRISH MANSOORI","Payment Success","370005"
"7808","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18100/2025-2026/192399","Pandhurna(District Collector Pandhurna_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","12-May-2026","IDRISH MANSOORI","Payment Success","319383"
"7809","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18100/2025-2026/192397","Pandhurna(District Collector Pandhurna_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","14-May-2026","IDRISH MANSOORI","Payment Success","541006"
"7810","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18117/2025-2026/164364","DHULE(DISTRICT COLLECTOR DHULE_IDA)","BACHHAV SHOBHA DINESH","DHULE","01-Jul-2026","GRAMNIDHI GRAMPANCHAYAT WARUD","Payment Success","987710"
"7811","Andhra Pradesh","Street lights","WS/MP405/2026-2027/274564","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Balashowry Vallabbhaneni","MACHILIPATNAM","02-Jul-2026","Sai Brothers and Co","Payment Success","248385"
"7812","Andhra Pradesh","Street lights","WS/MP405/2026-2027/274566","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Balashowry Vallabbhaneni","MACHILIPATNAM","02-Jul-2026","Sai Brothers and Co","Payment Success","248385"
"7813","Andhra Pradesh","Street lights","WS/MP405/2026-2027/274459","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Balashowry Vallabbhaneni","MACHILIPATNAM","02-Jul-2026","Sai Brothers and Co","Payment Success","493806"
"7814","Andhra Pradesh","Street lights","WS/MP405/2026-2027/274460","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Balashowry Vallabbhaneni","MACHILIPATNAM","30-Jul-2026","Sai Brothers and Co","Payment Success","493665"
"7815","Andhra Pradesh","Street lights","WS/MP405/2026-2027/274464","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Balashowry Vallabbhaneni","MACHILIPATNAM","24-Jun-2026","Sai Brothers and Co","Payment Success","496275"
"7816","Andhra Pradesh","Street lights","WS/MP405/2026-2027/274555","KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA)","Balashowry Vallabbhaneni","MACHILIPATNAM","08-Jul-2026","Sai Brothers and Co","Payment Success","499874"
"7817","Gujarat","Construction of community centers and community halls","WS/MP18320/2025-2026/231615","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","16-May-2026","NARANA GRAM PANCHAYAT","Payment Success","500000"
"7818","Haryana","Installation of multi-gym equipment","WS/MP329/2025-2026/231603","MAHENDRAGARH(DEPUTY COMMISSIONER MAHENDRAGARH_IDA)","Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","05-May-2026","BDPO ATELI NANGAL","Payment Success","70525"
"7819","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18337/2025-2026/156910","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","K RADHAKRISHNAN","ALATHUR(SC)","20-Jun-2026","DHIBIN E S","Payment Success","2010855"
"7820","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18310/2026-2027/200587","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","AVIMANYU SETHI","BHADRAK(SC)","12-May-2026","SATRUGHNA SAHOO","Payment Success","200000"
"7821","Karnataka","Construction of additional rooms and halls in the existing public and community building","WS/MP18082/2026-2027/211805","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","06-Jul-2026","RAMU K","Payment Success","499578"
"7822","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP468/2025-2026/235923","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","13-May-2026","ARVIND KUMAR","Payment Success","5597"
"7823","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP468/2025-2026/235917","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","13-May-2026","ARVIND KUMAR","Payment Success","492021"
"7824","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP468/2025-2026/235923","LALITPUR(DISTRICT MAGISTRATE LALITPUR_IDA)","Anurag Sharma","JHANSI","21-May-2026","ARVIND KUMAR","Payment Success","492250"
"7825","Haryana","Construction of boundary walls of existing public and community buildings","WS/MP18062/2025-2026/232151","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","23-Jun-2026","The Manoj Pannu Co Op LC Society Ltd","Payment Success","533957"
"7826","Haryana","Construction of boundary walls of existing public and community buildings","WS/MP18062/2025-2026/232151","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","20-Aug-2026","The Manoj Pannu Co Op LC Society Ltd","Payment Success","76778"
"7827","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238326","BOTAD(District collector Botad_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","06-May-2026","SARPANCHSHREE GRAM PANCHAYAT VEJALKA","Payment Success","299311"
"7828","Jammu And Kashmir","Construction of public irrigation facilities","WS/MP18070/2025-2026/244803","ANANTNAG(DEPUTY COMMISSIONER ANANTNAG_IDA)","MIAN ALTAF AHMAD","ANANTNAG","04-May-2026","ISHFAQ ALI DIN","Payment Success","149595"
"7829","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209190","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","89708"
"7830","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209201","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","89708"
"7831","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209206","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","70192"
"7832","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209207","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","70192"
"7833","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209208","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","89708"
"7834","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209209","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","70192"
"7835","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209210","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","89708"
"7836","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209211","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","89708"
"7837","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209212","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","89708"
"7838","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209213","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","89708"
"7839","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209216","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","70192"
"7840","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209217","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","89708"
"7841","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209218","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","70192"
"7842","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209219","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","70192"
"7843","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209220","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","89708"
"7844","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209222","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","Indomite Venture","Payment Success","89708"
"7845","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209188","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","70192"
"7846","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209189","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","70192"
"7847","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209191","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","70192"
"7848","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209192","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","70192"
"7849","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209193","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","70192"
"7850","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209194","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","70192"
"7851","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209197","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","89708"
"7852","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209199","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","89708"
"7853","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209195","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","89708"
"7854","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209196","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","70192"
"7855","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209198","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","89708"
"7856","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209200","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","70192"
"7857","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209202","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","89708"
"7858","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209203","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","89708"
"7859","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209204","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","89708"
"7860","Chhattisgarh","Installing tube-wells and borewells","WS/MP18354/2025-2026/209205","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","89708"
"7861","Chhattisgarh","Installing hand pumps","WS/MP18354/2025-2026/209215","SURAJPUR(DISTRICT COLLECTOR Surajpur_IDA)","CHINTAMANI MAHARAJ","SARGUJA(ST)","06-May-2026","SUHANI ENTERPRISES","Payment Success","70192"
"7862","Punjab","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18311/2025-2026/219477","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","11-Jun-2026","The Kitab Arr Publication","Payment Success","100000"
"7863","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP348/2026-2027/212227","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Benny Behanan","CHALAKUDY","24-Jul-2026","Santhosh M D","Payment Success","1379405"
"7864","Rajasthan","Purchase of training equipment","WS/MP18165/2026-2027/268330","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","MANJU SHARMA","JAIPUR","07-May-2026","L D TRADERS","Payment Success","998988"
"7865","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP574/2025-2026/233039","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","06-May-2026","GADSAI GRAM PANCHAYAT","Payment Success","250000"
"7866","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/211697","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","05-May-2026","Surinder Kumar","Payment Success","150423"
"7867","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP526/2025-2026/257259","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","02-May-2026","NANDITHA ENTERPRISES","Payment Success","598842"
"7868","Himachal Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18069/2025-2026/212331","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","28-Jul-2026","Ms Aman Kumar","Payment Success","97000"
"7869","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18112/2025-2026/259060","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","17-May-2026","AMIT NAGORAO MULE","Payment Success","498287"
"7870","Maharashtra","Construction of community centers and community halls","WS/MP18112/2026-2027/259061","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","20-Aug-2026","AMIT NAGORAO MULE","Payment Success","975465"
"7871","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/242834","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","22-Jun-2026","AMBEY BRICKS KILN CO","Payment Success","28800"
"7872","Chhattisgarh","Purchase of mobile water tankers","WS/MP18048/2025-2026/197156","BASTAR(DISTRICT COLLECTOR BASTAR_IDA)","MAHESH KASHYAP","BASTAR(ST)","21-May-2026","GRAM PANCHAYT CHOKAR","Payment Success","175000"
"7873","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/255346","BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA)","BHARTI PARDHI","BALAGHAT","11-May-2026","BHUWANLAL RAHANGDALE","Payment Success","187351"
"7874","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/255346","BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA)","BHARTI PARDHI","BALAGHAT","12-May-2026","BHUWANLAL RAHANGDALE","Payment Success","191868"
"7875","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/255346","BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA)","BHARTI PARDHI","BALAGHAT","12-May-2026","BHUWANLAL RAHANGDALE","Payment Success","185202"
"7876","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18098/2025-2026/255346","BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA)","BHARTI PARDHI","BALAGHAT","12-May-2026","BHUWANLAL RAHANGDALE","Payment Success","188504"
"7877","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2025-2026/207964","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","05-May-2026","JUNIOR ENGINEER BDO NARAYANPATNA","Payment Success","300000"
"7878","Punjab","Purchase of immovable sports equipment","WS/MP381/2025-2026/184577","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Lucky Computer Hardware","Payment Success","100000"
