"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17739","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2025-2026/242630","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","NAGAUR","16-Jan-2026","KASNAU TRADING COMPANY","Payment Success","1125000"
"17740","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP644/2025-2026/232884","MAUGANJ(District Collector Mauganj_IDA)","Janardan Mishra","REWA","31-Dec-2025","GP PAHILPAAR JP NAIGARHI","Payment Success","300000"
"17741","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/138107","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","05-Jan-2026","jai singh","Payment Success","350813"
"17742","Rajasthan","Construction of community centers and community halls","WS/MP720/2025-2026/219473","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","Chandra Prakash Joshi","CHITTORGARH","30-Dec-2025","Lucky construction","Payment Success","301879"
"17743","Rajasthan","Construction of community centers and community halls","WS/MP720/2025-2026/219473","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","Chandra Prakash Joshi","CHITTORGARH","28-Mar-2026","Lucky construction","Payment Success","1500"
"17744","Rajasthan","Construction of community centers and community halls","WS/MP720/2025-2026/219473","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","Chandra Prakash Joshi","CHITTORGARH","28-Mar-2026","Lucky construction","Payment Success","94215"
"17745","Andhra Pradesh","Providing drains and gutters for public drainage","WS/MP526/2025-2026/146057","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Y S Avinash Reddy","KADAPA","04-Jan-2026","HLWC President C Gopulapuram GP Kamalapuam Mandal","Payment Success","410821"
"17746","Jammu And Kashmir","Construction of boundary walls of existing public and community buildings","WS/MP600/2025-2026/159675","RAMBAN(Deputy Commissioner Ramban_IDA)","Jitendra Singh","UDHAMPUR","07-Jan-2026","Sh Omesh Singh So Mangat Ram Ro Chapran Tehsil Pogal Paristan Ukhral District Ramban Contractor","Payment Success","199200"
"17747","Jammu And Kashmir","Construction of footpaths and pedestrian ways","WS/MP600/2025-2026/159674","RAMBAN(Deputy Commissioner Ramban_IDA)","Jitendra Singh","UDHAMPUR","17-Apr-2026","Sh Omesh Singh So Mangat Ram Ro Chapran Tehsil Pogal Paristan Ukhral District Ramban Contractor","Payment Success","146800"
"17748","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP568/2025-2026/215813","DURG(DISTRICT COLLECTOR DURG_IDA)","Vijay Baghel","DURG","30-Jan-2026","Sarpanch Sachiv Gram Panchayat Chandkhuri","Payment Success","350000"
"17749","Odisha","Construction of community centers and community halls","WS/MP18310/2025-2026/197058","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","AVIMANYU SETHI","BHADRAK(SC)","02-Jan-2026","UJJAWAL KUMAR NATH","Payment Success","300000"
"17750","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18062/2025-2026/156121","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","20-Apr-2026","The Mahakal Coop L and C Society ltd","Payment Success","490071"
"17751","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18066/2025-2026/242509","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","24-Feb-2026","The Mahakal Coop L and C Society ltd","Payment Success","156728"
"17752","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18066/2025-2026/243048","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","22-Apr-2026","The Mahakal Coop L and C Society ltd","Payment Success","126906"
"17753","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18066/2025-2026/219785","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","29-Dec-2025","The Mahakal Coop L and C Society ltd","Payment Success","233477"
"17754","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18109/2025-2026/244410","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","22-Jan-2026","GRAM PANCHAYAT BHAGOHAR","Payment Success","216000"
"17755","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18109/2025-2026/244410","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","22-Jan-2026","GRAM PANCHAYAT BHAGOHAR","Payment Success","120000"
"17756","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18109/2025-2026/244410","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","22-Jan-2026","GRAM PANCHAYAT BHAGOHAR","Payment Success","164000"
