project_id,isolation_forest_flag,anomaly_score,anomaly_reason,zscore_flag,iqr_flag,similarity_score,duplicate_flag,ml_risk_score,ml_risk_level
WS/MP526/2026-2027/152487,0,0.1389623074157177,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18321/2025-2026/152523,0,0.2499275496842311,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18321/2024-2025/152559,0,0.228861297806366,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP638/2025-2026/152569,0,0.1118320482221432,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18104/2026-2027/152597,0,0.1858936927088686,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18313/2024-2025/152806,0,0.1117549100289189,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18238/2025-2026/152813,0,0.112719805644191,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP755/2026-2027/152826,0,0.043866781887651,Detected by Isolation Forest pattern analysis,0,1,0.0,0,20,Medium
WS/MP823/2025-2026/152969,0,0.1269757235567332,Detected by Isolation Forest pattern analysis,1,1,0.0,0,45,Medium
WS/MP722/2024-2025/153047,0,0.1011096991475934,Detected by Isolation Forest pattern analysis,0,1,0.0,0,20,Medium
WS/MP18104/2025-2026/153165,0,0.2195977531572607,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP541/2025-2026/153187,0,0.0900329504862983,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18336/2025-2026/153252,0,0.1067122577398831,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP727/2024-2025/153496,0,0.2105847185188749,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18249/2025-2026/153601,0,0.1414731532892748,Detected by Isolation Forest pattern analysis,1,1,0.0,0,45,Medium
WS/MP18311/2024-2025/153620,0,0.0404655609430455,Unusually high number of payments,0,0,0.0,0,0,Normal
WS/MP18311/2024-2025/153634,0,0.0656798509771222,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP541/2025-2026/153673,0,0.1094270109368303,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18324/2024-2025/153722,0,0.2279811756572697,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18311/2024-2025/153729,1,-0.002226039036061,Unusually high number of payments,0,0,0.0,0,40,Medium
WS/MP541/2025-2026/153744,0,0.0181685077518,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18324/2024-2025/153761,0,0.18295666083447,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18248/2024-2025/153846,0,0.185448694382802,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18062/2025-2026/153853,0,0.1651044813070971,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18062/2024-2025/153855,0,0.103831362342072,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18311/2024-2025/153875,0,0.0908720086082147,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP761/2026-2027/153904,0,0.1120871770110388,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP453/2025-2026/153905,0,0.2155306622200391,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP453/2025-2026/153906,0,0.2155306622200391,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP453/2025-2026/153908,0,0.2155306622200391,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP453/2025-2026/153915,0,0.2155306622200391,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP761/2025-2026/153917,0,0.1461947357517402,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP761/2026-2027/153936,0,0.123292945956071,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP761/2025-2026/153961,0,0.1612416772806919,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP761/2025-2026/153965,0,0.2080902451829377,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP453/2024-2025/153974,0,0.2309715009341826,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP761/2025-2026/153980,0,0.1616665406398434,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP761/2025-2026/153983,0,0.1621448626815784,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
