project_id,similar_project_id,similarity_score,potential_duplicate_flag
WS/MP643/2024-2025/136005,WS/MP643/2024-2025/136009,1.0,1
WS/MP643/2024-2025/136005,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/136006,WS/MP643/2024-2025/136007,1.0,1
WS/MP643/2024-2025/136006,WS/MP643/2024-2025/136008,1.0,1
WS/MP643/2024-2025/136006,WS/MP643/2024-2025/136009,1.0,1
WS/MP643/2024-2025/136006,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/136007,WS/MP643/2024-2025/136008,1.0,1
WS/MP643/2024-2025/136007,WS/MP643/2024-2025/136009,1.0,1
WS/MP643/2024-2025/136007,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/136008,WS/MP643/2024-2025/136009,1.0,1
WS/MP643/2024-2025/136008,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/136009,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136018,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136019,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136020,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136021,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136022,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136023,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136024,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136025,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136026,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136027,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136017,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136019,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136020,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136021,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136022,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136023,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136024,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136025,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136026,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136027,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136018,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136020,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136021,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136022,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136023,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136024,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136025,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136026,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136027,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136019,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136021,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136022,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136023,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136024,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136025,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136026,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136027,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136020,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136022,1.0,1
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136023,1.0,1
